SECTION,FIELD,CONTENT (Tiếng Việt / English)
GAME ELEMENT,Ghi Chú,Mỗi cấp tăng kích hoạt LevelUp() - Nâng cấp Phaser Weapon và Health; EXP hiển thị trên UI
GAME ELEMENT,IMG,Experience UI Slider / Level Display

GAME ELEMENT,Tên,Boost Mechanic (Cơ Chế Tăng Tốc)
GAME ELEMENT,Mô Tả,Tính năng tăng tốc độ thế giới với cost năng lượng
GAME ELEMENT,Chức Năng Chính,Tăng tốc độ toàn bộ game từ 1x lên 7x; Người chơi di chuyển nhanh hơn; Kẻ thù di chuyển nhanh hơn
GAME ELEMENT,Thuộc Tính,World Speed Multiplier: 7f; Tiêu thụ 0.5 Energy per frame; Engine particle effect chạy
GAME ELEMENT,Ghi Chú,Không thể Boost nếu Energy < 10; Tự động tắt nếu Energy dùng hết; Có âm thanh fire
GAME ELEMENT,IMG,Engine effect particle (boosting animation)

GAME ELEMENT,Tên,UI Controller (Bộ Điều Khiển UI)
GAME ELEMENT,Mô Tả,Quản lý tất cả các UI sliders và text trên màn hình
GAME ELEMENT,Chức Năng Chính,Cập nhật Energy Slider; Cập nhật Health Slider; Cập nhật Experience Slider; Hiển thị Pause Panel
GAME ELEMENT,Thuộc Tính,Singleton pattern; Kết nối với tất cả các Slider components trên Canvas
GAME ELEMENT,Ghi Chú,Hiển thị giá trị hiện tại / tối đa cho mỗi thanh; Pause Panel có thể bật tắt
GAME ELEMENT,IMG,UI Layout screenshot / Pause Panel

GAME ELEMENT,Tên,Audio Manager (Quản Lý Âm Thanh)
GAME ELEMENT,Mô Tả,Quản lý tất cả các sound effects trong game
GAME ELEMENT,Chức Năng Chính,Phát các âm thanh khác nhau cho hành động khác nhau
GAME ELEMENT,Thuộc Tính,AudioSources: shoot, hit, fire (boost), ice (death), boom2/3, bossCharge, bossSpawn, locustCharge, v.v.
GAME ELEMENT,Ghi Chú,Có pitch variation cho một số âm thanh (0.7-1.3 random pitch); Singleton pattern
GAME ELEMENT,IMG,Audio Manager component screenshot

WIN/LOSE,Điều Kiện Thắng,Không có điều kiện thắng cụ thể - Trò chơi tập trung vào Survival/Endless Mode
WIN/LOSE,Điều Kiện Thua,Health của người chơi <= 0 → Game Over screen; Điều này xảy ra khi bị va chạm quá nhiều lần
WIN/LOSE,Game Over Flow,1. Người chơi bị đánh hạ (Health = 0); 2. Explosion effect được tạo; 3. Chờ 2 giây; 4. Load "GameOver" scene
WIN/LOSE,Khôi Phục / Retry,Từ GameOver screen có thể: New Game (restart Level1) hoặc Quit Game (thoát ứng dụng)

GAME RULES,Luật 1: Điều Khiển,"WASD hoặc Arrow Keys: Di chuyển 4 hướng; Space hoặc gamepad button: Activate Boost"
GAME RULES,Luật 2: Bắn Súng,Right Shift hoặc Fire1 button: Bắn phaser weapon liên tục
GAME RULES,Luật 3: Boost,"Tăng tốc độ thế giới; Tiêu thụ Energy; Không thể bắn được vũ khí hiệu quả khi boost (kẻ thù nhanh)"
GAME RULES,Luật 4: Sát Thương,"Va chạm với Asteroid hoặc Enemy gây sát thương; Phaser bullets tiêu diệt kẻ thù; Enemies cũng bắn/tấn công"
GAME RULES,Luật 5: Kinh Nghiệm,"Tiêu diệt kẻ thù nhận EXP; Đủ EXP lên cấp → Nâng cấp Weapon + Health"
GAME RULES,Luật 6: Pause,ESC hoặc gamepad button: Pause/Unpause game (dừng thời gian)
GAME RULES,Luật 7: Boss Spawn,Sau khi tiêu diệt 5 kẻ thù thường → Boss 1 xuất hiện từ phía phải

GAME LEVEL,Cấp Độ,Level 1 (Duy nhất)
GAME LEVEL,Mô Tả,Màn hình chiều ngang với không gian 2D; Kẻ thù và tiểu hành tinh xuất hiện từ bên phải/bên trái
GAME LEVEL,Thiết Kế,Spawn zones: Min(-1, -5 to 5) Max(15, -5 to 5); Camera nhìn từ trên xuống (top-down view)
GAME LEVEL,Độ Khó,Tăng dần qua waves - Mỗi wave có nhịp độ sinh quái cao hơn; Sau 5 kẻ thù → Boss xuất hiện
GAME LEVEL,Tile/Asset,Có thể là không gian trống hoặc background hành tinh

GAME ITEM,Tên Item,Experience Points (EXP)
GAME ITEM,Loại,Collectible / Reward
GAME ITEM,Mô Tả,Nhận được khi tiêu diệt kẻ thù; Tích lũy để nâng cấp
GAME ITEM,Giá Trị,Asteroid: 1 EXP; Enemy: Tùy theo loại (Locustmorph, Boss, v.v.)
GAME ITEM,Ghi Chú,Tự động nhận khi kẻ thù chết (nếu giveExperience = true)

GAME ITEM,Tên Item,Health Regeneration (Regenerate on Level Up)
GAME ITEM,Loại,Passive Buff
GAME ITEM,Mô Tả,Mỗi lần Level Up → Health tăng 1 điểm
GAME ITEM,Giá Trị,+1 Max Health per Level; Hiện tại Health được reset bằng Max Health
GAME ITEM,Ghi Chú,Không có item drop trực tiếp; Buff được kích hoạt tự động

GAME ITEM,Tên Item,Weapon Upgrade (Nâng Cấp Vũ Khí)
GAME ITEM,Loại,Passive Upgrade
GAME ITEM,Mô Tả,Mỗi lần Level Up → Phaser Weapon nâng cấp stats
GAME ITEM,Giá Trị,Bullet speed/damage/size/amount/range tăng tùy cấp độ vũ khí
GAME ITEM,Ghi Chú,Nâng cấp tự động khi LevelUp()

GAME MECHANIC,Cơ Chế 1: Spawning,"Wave-based spawning: Mỗi wave có số lượng kẻ thù cố định, spawn interval, và object pool"
GAME MECHANIC,Cơ Chế 2: Object Pooling,"Sử dụng ObjectPooler: Pre-spawn objects, reuse chúng thay vì Instantiate/Destroy liên tục"
GAME MECHANIC,Cơ Chế 3: World Speed,"Điều khiển tốc độ game chung: Dùng cho Boost mechanic; Ảnh hưởng tất cả di chuyển"
GAME MECHANIC,Cơ Chế 4: Collision Detection,"2D Physics: Trigger và Rigidbody va chạm; OnCollisionEnter2D được gọi để xử lý sát thương"
GAME MECHANIC,Cơ Chế 5: Damage System,"Đối tượng có lives/health; TakeDamage() giảm lives; Flash White effect khi bị đánh"
GAME MECHANIC,Cơ Chế 6: Animation Blending,"Animator sử dụng parameters (moveX, moveY, boosting, charging) để blend animations"
GAME MECHANIC,Cơ Chế 7: Singleton Pattern,"GameManager, PlayerController, AudioManager, UIController đều dùng Singleton để truy cập global"
GAME MECHANIC,Cơ Chế 8: Weapon Leveling,"Weapon có múc stats list; Level up tăng index và nâng cấp damage/speed/etc."

CORE LOOP,Bước 1: Nhập Liệu,Người chơi ấn phím di chuyển (WASD) + bắn (Shift) + boost (Space)
CORE LOOP,Bước 2: Cập Nhật Trạng Thái,PlayerController cập nhật position, energy, boosting state
CORE LOOP,Bước 3: Sinh Quái,ObjectSpawners tạo enemies theo waves; Boss sinh sau 5 kills
CORE LOOP,Bước 4: Di Chuyển Kẻ Thù,"Enemies di chuyển theo speed; Boss có AI (Patrol/Charge); Locustmorph có logic riêng"
CORE LOOP,Bước 5: Bắn Súng,"Phaser bullets được tạo từ pool; Di chuyển về phía trước; Kiểm tra va chạm"
CORE LOOP,Bước 6: Va Chạm,OnCollisionEnter2D được gọi → Gây sát thương hoặc tiêu diệt
CORE LOOP,Bước 7: Xử Lý Chết,"Nếu Enemy chết → Tạo explosion effect + phát âm thanh + EXP drop"
CORE LOOP,Bước 8: Cập Nhật UI,"UIController cập nhật Health/Energy/Experience Sliders"
CORE LOOP,Bước 9: Kiểm Tra Game Over,"Nếu Health <= 0 → Show Game Over screen sau 2 giây"
CORE LOOP,Bước 10: Lặp Lại,Quay lại Bước 1; Game chạy liên tục cho đến khi Game Over
